Date,LFP_Share,NMC_Share
2020-01-01,0.3,0.7
2020-02-01,0.3,0.7
2020-03-01,0.3,0.7
2020-04-01,0.3,0.7
2020-05-01,0.3,0.7
2020-06-01,0.3,0.7
2020-07-01,0.3,0.7
2020-08-01,0.3,0.7
2020-09-01,0.3,0.7
2020-10-01,0.3,0.7
2020-11-01,0.3,0.7
2020-12-01,0.3,0.7
2021-01-01,0.45,0.55
2021-02-01,0.45,0.55
2021-03-01,0.45,0.55
2021-04-01,0.45,0.55
2021-05-01,0.45,0.55
2021-06-01,0.45,0.55
2021-07-01,0.45,0.55
2021-08-01,0.45,0.55
2021-09-01,0.45,0.55
2021-10-01,0.45,0.55
2021-11-01,0.45,0.55
2021-12-01,0.45,0.55
2022-01-01,0.55,0.44999999999999996
2022-02-01,0.55,0.44999999999999996
2022-03-01,0.55,0.44999999999999996
2022-04-01,0.55,0.44999999999999996
2022-05-01,0.55,0.44999999999999996
2022-06-01,0.55,0.44999999999999996
2022-07-01,0.55,0.44999999999999996
2022-08-01,0.55,0.44999999999999996
2022-09-01,0.55,0.44999999999999996
2022-10-01,0.55,0.44999999999999996
2022-11-01,0.55,0.44999999999999996
2022-12-01,0.55,0.44999999999999996
2023-01-01,0.65,0.35
2023-02-01,0.65,0.35
2023-03-01,0.65,0.35
2023-04-01,0.65,0.35
2023-05-01,0.65,0.35
2023-06-01,0.65,0.35
2023-07-01,0.65,0.35
2023-08-01,0.65,0.35
2023-09-01,0.65,0.35
2023-10-01,0.65,0.35
2023-11-01,0.65,0.35
2023-12-01,0.65,0.35
2024-01-01,0.7,0.30000000000000004
2024-02-01,0.7,0.30000000000000004
2024-03-01,0.7,0.30000000000000004
2024-04-01,0.7,0.30000000000000004
2024-05-01,0.7,0.30000000000000004
2024-06-01,0.7,0.30000000000000004
2024-07-01,0.7,0.30000000000000004
2024-08-01,0.7,0.30000000000000004
2024-09-01,0.7,0.30000000000000004
2024-10-01,0.7,0.30000000000000004
2024-11-01,0.7,0.30000000000000004
2024-12-01,0.7,0.30000000000000004
2025-01-01,0.75,0.25
2025-02-01,0.75,0.25
2025-03-01,0.75,0.25
2025-04-01,0.75,0.25
2025-05-01,0.75,0.25
2025-06-01,0.75,0.25
2025-07-01,0.75,0.25
2025-08-01,0.75,0.25
2025-09-01,0.75,0.25
2025-10-01,0.75,0.25
2025-11-01,0.75,0.25
2025-12-01,0.75,0.25
2026-01-01,0.8,0.19999999999999996
2026-02-01,0.8,0.19999999999999996
2026-03-01,0.8,0.19999999999999996
2026-04-01,0.8,0.19999999999999996
2026-05-01,0.8,0.19999999999999996
2026-06-01,0.8,0.19999999999999996
2026-07-01,0.8,0.19999999999999996
2026-08-01,0.8,0.19999999999999996
2026-09-01,0.8,0.19999999999999996
2026-10-01,0.8,0.19999999999999996
2026-11-01,0.8,0.19999999999999996
2026-12-01,0.8,0.19999999999999996
