region_country,category,parameter,mode,powertrain,year,unit,value,Aggregate group
India,Historical,EV sales,2 and 3 wheelers,BEV,2010,Vehicles,40000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,BEV,2011,Vehicles,30000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,BEV,2012,Vehicles,190000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,BEV,2013,Vehicles,210000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,BEV,2014,Vehicles,260000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,BEV,2015,Vehicles,6900.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,BEV,2016,Vehicles,49000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,BEV,2017,Vehicles,85000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,BEV,2018,Vehicles,130000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,BEV,2019,Vehicles,160000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,BEV,2020,Vehicles,120000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,BEV,2021,Vehicles,320000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,BEV,2022,Vehicles,980000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,BEV,2023,Vehicles,1500000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,BEV,2024,Vehicles,1900000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,BEV,2025,Vehicles,2100000.0,Projection_country
India,Historical,EV sales,Buses,BEV,2015,Vehicles,100.0,Projection_country
India,Historical,EV sales,Buses,BEV,2016,Vehicles,25.0,Projection_country
India,Historical,EV sales,Buses,BEV,2017,Vehicles,20.0,Projection_country
India,Historical,EV sales,Buses,BEV,2018,Vehicles,210.0,Projection_country
India,Historical,EV sales,Buses,BEV,2019,Vehicles,460.0,Projection_country
India,Historical,EV sales,Buses,BEV,2020,Vehicles,2200.0,Projection_country
India,Historical,EV sales,Buses,BEV,2021,Vehicles,1200.0,Projection_country
