2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
19981199.745200418,20336448.68695384,23026494.105381027,25649646.352546312,27772608.925784614,28909242.29199347,33061627.48517232,33707908.26626647,34549875.585322775,36637215.767444074,37157303.27211942,38808253.383996285,41871616.87003092,40346885.00919282,42215204.3396696,45196193.14032858
18266090.827113394,20851852.22151699,21246927.80352658,22355353.408093538,29708439.64748303,28918831.858296704,31371746.920643527,31197921.379952006,34464025.40102485,36151415.48408107,36382046.24516328,39759151.1860481,40902357.87843968,42198804.89866583,43497985.6593516,47960526.07239461
19401509.88790477,19289213.640513048,23226510.8103397,22570226.942547586,28277141.68181139,26930077.762671195,29811507.189491652,33054617.89720911,35934260.24126099,36219446.03561318,37549420.97901771,38994297.346317746,39892512.97981987,41709839.09111745,43659094.44131589,47050186.05178033
19807255.91897057,18485854.899667077,22656325.617607154,23508192.842779703,27268358.99810239,29879379.294619936,32448791.327123344,33895506.56260764,34126124.143541604,35678561.04689669,38053323.82712693,40437038.601154566,41042080.61519457,42319901.063413195,42921666.77633213,44470446.303060114
20340017.344220947,22038665.28535958,22203236.98768214,25066620.562993575,28451127.556938812,28437850.266113624,31700255.13303178,34590225.3816256,35046866.857537076,37787552.7087411,34725996.3932293,40263407.02260676,41693415.13442511,42190452.459500775,44289971.17022607,43564449.49029048
19167259.2101613,20900675.045062,23976159.05653959,23358717.467890132,27118517.823149346,28602285.466732886,32319567.40946684,33205628.03935168,34480783.8304015,36604247.45493957,37789274.062233716,40429240.75452319,40785699.071475506,42157727.4787159,43737360.92832031,44164416.44477839
19753289.8231699,20791267.312968682,22291457.98665199,23677091.910405003,26427371.84791375,28695319.575745795,30913145.175042436,31910632.818313226,34903081.316252895,36481326.13929041,39806533.32453954,39531865.17558537,41889548.16295044,42446911.050298125,41993810.98666137,45809577.463180475
19485277.220331516,23299523.005346406,22065568.6914399,24278789.80465151,27999744.29422872,27837335.594687045,32573796.243156865,33690159.26613839,35994503.82072967,35003074.66173727,39261498.60834322,37750342.38426044,42268355.56709423,45033523.74461104,43053916.473396406,45191602.03358786
19530066.585676882,19920478.78005063,20511818.162221618,24017313.981541313,26829464.52840854,29720998.870835446,30268453.46067769,34603848.06727405,34190263.05819531,35664099.56778009,38597075.64378434,37943574.56261117,41854934.57183529,44024743.34307837,42349322.39851422,46051311.46580149
19712117.669512484,21384413.304121263,20870671.449404277,22458432.396849576,28633692.563961938,29518432.026133794,31576279.265869733,33225890.713696066,34308570.20518522,36287971.48924513,38010262.676641986,38527285.959144756,43739517.19985494,43073068.51142441,42824627.116872475,46591592.1875351
