Year,2 and 3 wheelers,Buses,Cars,Vans,Total_EOL
2020,0,0,0,0,0
2021,65188,308,1073,96,66665
2022,727708,1728,8615,772,738823
2023,2858394,4665,29179,2594,2894832
2024,6935012,9205,69040,6037,7019294
2025,12245344,15160,133467,11368,12405339
2026,17159139,22140,226058,18557,17425894
2027,20682843,29577,347347,27196,21086963
2028,23202704,36927,494339,36592,23770562
2029,25393620,43785,660707,45962,26144074
2030,27425838,49952,837910,54677,28368377
2031,29264998,55384,1016637,62397,30399416
2032,30951357,60165,1188702,69086,32269310
2033,32535166,64444,1348478,74910,34022998
2034,34053777,68377,1493514,80108,35695776
2035,35565139,72068,1623979,84882,37346068
