Year,2 and 3 wheelers,Buses,Cars,Vans,Total_EOL_GWh
2020,0.0,0.0,0.0,0.0,0.0
2021,0.16297,0.077,0.037555,0.00288,0.280405
2022,1.81927,0.432,0.301525,0.02316,2.5759549999999996
2023,7.145985,1.16625,1.021265,0.07782,9.41132
2024,17.33753,2.30125,2.4164,0.18111,22.23629
2025,30.61336,3.79,4.671345,0.34104,39.415745
2026,42.8978475,5.535,7.91203,0.55671,56.9015875
2027,51.7071075,7.39425,12.157145,0.81588,72.0743825
2028,58.00676,9.23175,17.301865,1.09776,85.638135
2029,63.48405,10.94625,23.124745,1.37886,98.93390500000001
2030,68.564595,12.488,29.32685,1.64031,112.019755
2031,73.162495,13.846,35.582295,1.87191,124.46270000000001
2032,77.3783925,15.04125,41.60457,2.07258,136.0967925
2033,81.337915,16.111,47.19673,2.2473,146.892945
2034,85.1344425,17.09425,52.27299,2.40324,156.90492250000003
2035,88.9128475,18.017,56.839265,2.54646,166.3155725
