Date,Forecast_Registrations,yhat_lower,yhat_upper
2020-01-01,1775480.2230565338,1360710.7433850595,2224132.945974577
2020-02-01,1693749.3716091844,1259683.786166017,2106013.1016806574
2020-03-01,2166182.192366709,1749254.3458628121,2597032.829965239
2020-04-01,1243461.180511394,835757.032951474,1663721.7408532605
2020-05-01,926917.6203387799,510602.8985452065,1339257.698611824
2020-06-01,1334141.95912022,912075.6514504133,1723612.1887184929
2020-07-01,1515396.5464058383,1086367.0619454563,1951118.9264985744
2020-08-01,1393311.332232879,973309.5757735159,1817672.6973250508
2020-09-01,1305759.8587696713,890256.3443736118,1697681.723624283
2020-10-01,2169652.7281889752,1746974.5337033726,2580083.415865211
2020-11-01,2322696.555795929,1904645.9198893216,2774242.8614888513
2020-12-01,1570095.540602191,1144137.3844111476,1984935.4740686526
2021-01-01,1707962.506999767,1285960.7367748776,2138958.3657283154
2021-02-01,1503531.5323459823,1082682.8218512903,1949264.6000716966
2021-03-01,2020756.2688768008,1607890.1471260116,2414106.5990007073
2021-04-01,1416290.8868886032,970316.5506319092,1852234.6136201543
2021-05-01,1252160.1192669852,841221.809958961,1678607.5786113448
2021-06-01,1469647.6307028309,1057298.5083489292,1879126.836923904
2021-07-01,1586184.4790618825,1181870.165682382,1986327.7821892768
2021-08-01,1541174.8126666504,1104926.2178549697,1957366.7632335965
2021-09-01,1492432.5211128325,1071409.6975954722,1924710.29019616
2021-10-01,2267394.9203170864,1848362.9300379232,2687300.1404239153
2021-11-01,2511546.511581335,2085124.435269827,2944376.165783909
2021-12-01,1724847.331237584,1329977.1905311747,2164330.058077459
2022-01-01,1934062.6221669589,1506323.277368442,2350963.29241174
2022-02-01,1775015.7537161387,1340795.3641014902,2204634.8434008253
2022-03-01,1898692.3374905575,1477298.6805362527,2346255.448495191
2022-04-01,1618581.9692437942,1210478.9867147563,2029970.1236210754
2022-05-01,1600566.504844262,1177091.0941047226,1981972.0691645856
2022-06-01,1624391.3999548797,1199765.3531840688,2049547.476381023
2022-07-01,1632954.7428589473,1185758.6516504316,2082990.1640201837
2022-08-01,1667078.257647663,1252993.0612492417,2100231.6570556625
2022-09-01,1656049.7073638975,1261400.7077904162,2046582.2801214277
2022-10-01,2342396.0460834973,1922384.0564998821,2766553.56566811
2022-11-01,2678288.27430232,2254611.790592761,3092600.2055856534
2022-12-01,1857531.1318283225,1410221.2715409677,2296963.2197470097
2023-01-01,2137308.989788044,1734743.632717105,2566258.3976608287
2023-02-01,2019154.344415142,1631591.367983888,2458448.2344822763
2023-03-01,1754151.0404761918,1353607.1886974694,2142628.3142441697
2023-04-01,1804172.118333459,1394302.0229372177,2229435.561403567
2023-05-01,1925755.2577677546,1520058.7555178064,2348225.9335254617
2023-06-01,1752192.557980049,1324417.4247038004,2166489.3017675653
2023-07-01,1678886.9170035627,1266141.9482462867,2101092.3772166274
2023-08-01,1794128.7967008087,1408819.3990114862,2217279.7800973966
2023-09-01,1819671.2470346885,1392923.673706472,2243423.0446906975
2023-10-01,2417778.17826233,2003438.7256515569,2815779.162083678
2023-11-01,2845975.55957271,2417961.1333163837,3258522.5151745165
2023-12-01,1991191.4928689343,1548319.340877572,2411178.8108366197
2024-01-01,2340666.055458525,1923131.6869939794,2770470.8868551822
2024-02-01,2258935.2040178147,1807434.6812154965,2660784.2166874493
2024-03-01,2731368.024781274,2316096.581678766,3147569.745608441
2024-04-01,2030344.1990556363,1631555.7449393054,2466584.0989688267
2024-05-01,1713800.6388890212,1292227.6083901764,2113932.0065136
2024-06-01,2121024.9776811823,1680655.0029361339,2559505.7442961554
2024-07-01,2302279.564976926,1889132.574220948,2705587.4698103257
2024-08-01,2180194.3508176534,1758047.441709313,2601664.2948560193
2024-09-01,2092642.8773665365,1677677.9520103228,2494590.201969671
2024-10-01,2904844.4952331986,2482057.3772667167,3358148.1133483592
2024-11-01,3057888.322856826,2623006.672784658,3499083.969207117
2024-12-01,2305287.3076840485,1900806.0146365168,2712087.7613895377
2025-01-01,2443154.274095707,2005397.8686797866,2839212.994535125
2025-02-01,2238723.299457425,1812467.0611496982,2669792.184670171
2025-03-01,2755948.0360016357,2336612.1006851457,3205904.01993041
2025-04-01,2151482.6540308963,1734960.958747815,2571841.538183486
2025-05-01,1987351.8864267515,1585639.9471485838,2411850.4694978176
2025-06-01,2204839.3978773337,1793546.2807448786,2618713.6800204455
2025-07-01,2298303.5241462504,1890206.0643269718,2726549.5985018983
2025-08-01,2253293.8577716444,1825769.2403079201,2686309.1145322816
2025-09-01,2204551.566237208,1760824.9219180825,2626313.545975446
2025-10-01,2979513.9654586744,2548031.4023143486,3395585.144393888
2025-11-01,3223665.556741444,2785665.557827707,3669499.1050485102
2025-12-01,2436966.376413421,2006800.2693433552,2846416.6188617568
2026-01-01,2646181.6673578974,2239989.456683024,3071927.0820696503
2026-02-01,2487134.7989238924,2084075.7024859795,2918738.3763614246
2026-03-01,2610811.382711765,2165763.624008483,3010272.8574984903
2026-04-01,2382392.2660487234,1956151.7165708856,2807734.039301378
2026-05-01,2364376.801667306,1970259.1611488734,2782767.1884201905
2026-06-01,2388201.6967952675,1961102.295819058,2801252.8850484015
2026-07-01,2396765.03971462,1972807.501690297,2802121.83193489
2026-08-01,2430888.5545201823,2012186.479310735,2850658.3521904023
2026-09-01,2419860.0042551765,2012281.1775173766,2800837.0995388697
2026-10-01,3106206.342990952,2671385.2030766215,3501553.9290673663
2026-11-01,3442098.5712271496,3015710.1238097204,3857664.4913811805
2026-12-01,2621341.4287735624,2239910.342607534,3018588.1880925037
2027-01-01,2878046.5646494366,2484528.6489291983,3310787.0199963427
2027-02-01,2759891.9192904416,2328524.948352739,3178729.7685027462
2027-03-01,2494888.615363581,2087408.101466998,2913823.132032382
2027-04-01,2544909.693239232,2100521.0975179076,2959471.6895902236
2027-05-01,2666492.8326877323,2244819.8910378558,3110007.2667642576
2027-06-01,2492930.1329110307,2055321.283732926,2912414.8423295775
2027-07-01,2419624.491947118,1985755.6853304058,2822458.844526725
