2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
0.0,68604.3406322875,757714.5789762825,2953364.622707722,7148049.831961596,12654396.180172727,17830368.177445654,21618339.377184555,24341392.916221768,26683139.883470558,28902243.52788157,30974326.283884972,32785211.67151552,34321284.34206283,35750560.70830673,37186273.94071312
0.0,62715.60932794328,700438.3270639633,2778374.7896021903,6783540.75575332,12025620.641577516,16948974.14872283,20623221.244253233,23456776.30245702,26015994.51375579,28249480.07162133,30073596.250394873,31722009.53175033,33419137.76877415,35168991.17248513,36906829.55001215
0.0,66614.00767239876,734162.0381930395,2854921.417962648,6912785.884369472,12213047.66468065,17160880.654261075,20736262.354548737,23240471.588716462,25369128.018802144,27472997.667197008,29675538.557092022,31945415.565590944,34033699.50068433,35731982.16719805,37133198.10064954
0.0,68007.11415651381,745372.3233971366,2869456.40186355,6891292.493028057,12119246.539392328,17004686.806004316,20660532.62986215,23494171.685019273,26129761.327114325,28644867.772633016,30828594.076979663,32599032.829920102,34145394.10993417,35740624.0171805,37462129.32646679
0.0,69836.32094888369,775912.0182423418,3048183.506018165,7375734.753572943,12983051.644919036,18126348.357124854,21740905.923084352,24267209.664582856,26498382.213795632,28692736.049231064,30854053.073847577,32843271.13283616,34489301.680452675,35855232.403858595,37231865.65034385
0.0,65809.72096818734,731630.379839031,2887483.732057286,7069114.531248596,12585636.00913035,17722451.46771095,21336553.701371334,23799959.720416773,25995613.426602576,28263001.730723586,30465157.757523634,32432891.14301139,34200352.355975874,35899920.453864984,37567917.142957695
0.0,67821.82456098824,751429.9443026158,2941699.6918654437,7119216.128469029,12536643.515574865,17486694.23467653,20941221.093614653,23355203.27935128,25526230.768698197,27703965.59065066,29833543.224471908,31928736.340600986,34036630.39203695,36101597.05068571,37966823.34217216
0.0,66901.61816030467,750815.0613869234,2998112.7029256797,7332049.540730469,12979475.325071191,18134647.479474153,21648268.133407995,24017072.985361397,26187639.153318785,28465394.244267587,30711312.65903486,32744726.40259152,34449670.59544023,35946920.18730148,37512696.35024139
0.0,67055.39996099938,740755.2589626184,2881321.6090136757,6919070.473056343,12123049.28434816,16913476.16875299,20431003.195157323,23144071.78323503,25693824.88030711,28140048.293652322,30350789.058637124,32307379.225511707,34026395.62409508,35611137.84803294,37237701.61481368
0.0,67680.46225591662,752049.0490595242,2952761.667538595,7122305.4602559535,12457629.060358282,17285701.048278302,20725427.245593175,23379360.129506797,25975118.784117013,28447122.08638438,30548074.900082305,32346461.73684892,34015390.75772747,35704928.73679019,37495905.22777629
0.0,62864.43021132846,703779.6384127906,2809748.531848269,6934601.183733252,12423964.612183979,17628737.248623908,21437993.35248135,24185842.540938064,26666323.666565716,29078436.509451922,31210076.72155971,32915233.31200608,34227560.4962464,35408165.72935533,36806393.03994509
0.0,66717.3806419337,745019.1226251338,2952397.6294797915,7202496.345971552,12819604.961301992,18138811.48126796,22017384.416777,24660522.31433766,26680159.17770385,28427491.5258493,30208699.92656834,32174126.74136546,34155079.58085059,35937196.34015747,37458746.38445338
0.0,67501.83931721552,742328.9496791471,2873134.9993678895,6922568.951411768,12211826.545218905,17171786.54379305,20851801.895635646,23585579.122957602,25950575.863458067,28129882.512603953,30156171.88880482,32131125.875794746,34149485.88819456,36111037.184216455,37811993.8993514
0.0,68675.8596872895,774039.0370897751,3111823.1874595936,7642381.328874869,13562141.519427834,18967143.39911428,22635666.855127063,25030771.388875637,27071163.811131462,28998417.796725124,30746987.858016875,32360983.119634293,33918838.019252084,35555207.246659264,37353541.07731741
0.0,64825.65559749043,724625.1851307378,2879441.7338319966,7043832.916614509,12485219.897842746,17484811.416582227,20995313.54480962,23490171.284543507,25812481.921239667,28134874.57215464,30265384.928404722,32224138.524746854,34144187.921920486,36006897.42975998,37702362.351169296
0.0,63575.03942618827,707378.1668749639,2794339.9477788834,6845589.230625328,12243132.585997855,17379183.893368557,21138889.474171147,23747931.240949687,25896190.956925,27989663.10939955,30150081.59435964,32300116.327427138,34275785.80964335,36034770.16207905,37777278.31327481
0.0,71608.87666176195,785614.0956679238,3025455.261581861,7244132.145674656,12686700.2386918,17684443.97649163,21253112.39299211,23711010.925344393,25652733.115432356,27369192.439070303,29083792.38638631,31030382.705805082,33155900.7933882,35193737.60501219,37024700.07969609
0.0,71204.15839631337,784363.4736650701,3035181.280004454,7251852.233954742,12637780.0468173,17539228.72345914,21059148.147609238,23690495.96624413,26055335.463303752,28241266.592313208,30271135.763583478,32275516.576530524,34256808.86356942,36147060.51412971,37854794.14312368
0.0,67762.8086843684,747382.1510364903,2904338.3953693076,6996807.5351726785,12294761.816199679,17185340.269307613,20763620.825379293,23495375.709197696,26026755.5401032,28428727.078432977,30568714.41715044,32505039.744264457,34374198.758229084,36154649.495514125,37758239.6280696
0.0,66585.12325162569,738467.5664184188,2901868.7226264137,7077054.377586261,12564774.308287626,17699633.311341483,21405470.51418137,24019634.407551277,26302589.086182903,28546611.28356418,30746402.951288316,32879428.044000506,34850546.97696323,36587492.45244663,38142880.9107982
0.0,67045.04125368489,744947.7482967578,2926949.2127128276,7091259.305987703,12545776.33600243,17641435.525611695,21312996.516596075,23910743.85652017,26161001.57251948,28399574.07447532,30677480.125719074,32814746.998255726,34592425.14409895,36048519.237355195,37393939.99413079
0.0,63446.39836713646,705280.1616402603,2781798.48477595,6803242.284894813,12120704.849242056,17133102.065828323,20805850.01364755,23481193.82883226,25867453.910173304,28154582.17202861,30223267.72788611,32021691.546312332,33605999.30250005,35052527.52946353,36482422.47839674
0.0,70012.38776211148,771748.200485984,2994519.5826168004,7192590.093376605,12573189.661915869,17454963.059886746,20910795.80785269,23467668.583451457,25847254.071703132,28155968.28169193,30312006.107091784,32364103.570429005,34352120.44120621,36205474.34907793,37866839.7626884
0.0,67047.69445252148,739623.945857187,2876694.9989525257,6948896.567193981,12282669.604140664,17354021.786766883,21261639.255770836,24358909.71755475,27107452.865362246,29473045.54938998,31382632.795264084,33045049.013455007,34696274.71986765,36342133.67433318,37814814.42673268
0.0,63705.286207772675,709720.9699467641,2808222.792946335,6883610.713714901,12341115.596843602,17632217.907770384,21644527.943789452,24485062.171981253,26667885.02043016,28484665.367486592,30233562.26527095,32154986.787984263,34187876.570198774,36086455.06662394,37697729.93513553
