Year,Scenario,Probability,Vehicle_Class,Chemistry,EOL_Volume
2021,Base,0.5,2 and 3 wheelers,LFP,19556
2021,Base,0.5,2 and 3 wheelers,NMC,45632
2021,Base,0.5,Buses,LFP,92
2021,Base,0.5,Buses,NMC,215
2021,Base,0.5,Cars,LFP,321
2021,Base,0.5,Cars,NMC,751
2021,Base,0.5,Vans,LFP,28
2021,Base,0.5,Vans,NMC,67
2021,Optimistic,0.25,2 and 3 wheelers,LFP,24635
2021,Optimistic,0.25,2 and 3 wheelers,NMC,57482
2021,Optimistic,0.25,Buses,LFP,116
2021,Optimistic,0.25,Buses,NMC,271
2021,Optimistic,0.25,Cars,LFP,405
2021,Optimistic,0.25,Cars,NMC,946
2021,Optimistic,0.25,Vans,LFP,36
2021,Optimistic,0.25,Vans,NMC,85
2021,Pessimistic,0.25,2 and 3 wheelers,LFP,14477
2021,Pessimistic,0.25,2 and 3 wheelers,NMC,33780
2021,Pessimistic,0.25,Buses,LFP,68
2021,Pessimistic,0.25,Buses,NMC,159
2021,Pessimistic,0.25,Cars,LFP,238
2021,Pessimistic,0.25,Cars,NMC,556
2021,Pessimistic,0.25,Vans,LFP,21
2021,Pessimistic,0.25,Vans,NMC,50
2022,Base,0.5,2 and 3 wheelers,LFP,228633
2022,Base,0.5,2 and 3 wheelers,NMC,499075
2022,Base,0.5,Buses,LFP,567
2022,Base,0.5,Buses,NMC,1161
2022,Base,0.5,Cars,LFP,2754
2022,Base,0.5,Cars,NMC,5861
2022,Base,0.5,Vans,LFP,247
2022,Base,0.5,Vans,NMC,525
2022,Optimistic,0.25,2 and 3 wheelers,LFP,287648
2022,Optimistic,0.25,2 and 3 wheelers,NMC,628245
2022,Optimistic,0.25,Buses,LFP,713
2022,Optimistic,0.25,Buses,NMC,1461
2022,Optimistic,0.25,Cars,LFP,3464
2022,Optimistic,0.25,Cars,NMC,7376
2022,Optimistic,0.25,Vans,LFP,310
2022,Optimistic,0.25,Vans,NMC,661
2022,Pessimistic,0.25,2 and 3 wheelers,LFP,169698
2022,Pessimistic,0.25,2 and 3 wheelers,NMC,369998
2022,Pessimistic,0.25,Buses,LFP,422
2022,Pessimistic,0.25,Buses,NMC,862
2022,Pessimistic,0.25,Cars,LFP,2046
2022,Pessimistic,0.25,Cars,NMC,4347
2022,Pessimistic,0.25,Vans,LFP,183
