Year,Scenario,Probability,Vehicle_Class,Chemistry,EOL_Volume
2021,S1,0.2201,2 and 3 wheelers,LFP,19794
2021,S1,0.2201,2 and 3 wheelers,NMC,46188
2022,S1,0.2201,2 and 3 wheelers,LFP,230756
2022,S1,0.2201,2 and 3 wheelers,NMC,504346
2023,S1,0.2201,2 and 3 wheelers,LFP,986798
2023,S1,0.2201,2 and 3 wheelers,NMC,1893373
2024,S1,0.2201,2 and 3 wheelers,LFP,2648064
2024,S1,0.2201,2 and 3 wheelers,NMC,4340929
2025,S1,0.2201,2 and 3 wheelers,LFP,5252038
2025,S1,0.2201,2 and 3 wheelers,NMC,7089768
2026,S1,0.2201,2 and 3 wheelers,LFP,8395460
2026,S1,0.2201,2 and 3 wheelers,NMC,8864008
2027,S1,0.2201,2 and 3 wheelers,LFP,11595536
2027,S1,0.2201,2 and 3 wheelers,NMC,9114843
2028,S1,0.2201,2 and 3 wheelers,LFP,14655155
2028,S1,0.2201,2 and 3 wheelers,NMC,8433670
2029,S1,0.2201,2 and 3 wheelers,LFP,17522867
2029,S1,0.2201,2 and 3 wheelers,NMC,7591339
2030,S1,0.2201,2 and 3 wheelers,LFP,20098432
2030,S1,0.2201,2 and 3 wheelers,NMC,6911395
2031,S1,0.2201,2 and 3 wheelers,LFP,22261156
2031,S1,0.2201,2 and 3 wheelers,NMC,6473605
2032,S1,0.2201,2 and 3 wheelers,LFP,24034641
2032,S1,0.2201,2 and 3 wheelers,NMC,6332541
2033,S1,0.2201,2 and 3 wheelers,LFP,25558564
2033,S1,0.2201,2 and 3 wheelers,NMC,6465693
2034,S1,0.2201,2 and 3 wheelers,LFP,26915220
2034,S1,0.2201,2 and 3 wheelers,NMC,6739160
2035,S1,0.2201,2 and 3 wheelers,LFP,28160831
2035,S1,0.2201,2 and 3 wheelers,NMC,7040920
2021,S1,0.2201,Buses,LFP,93
2021,S1,0.2201,Buses,NMC,218
2022,S1,0.2201,Buses,LFP,571
2022,S1,0.2201,Buses,NMC,1171
2023,S1,0.2201,Buses,LFP,1721
2023,S1,0.2201,Buses,NMC,2977
2024,S1,0.2201,Buses,LFP,3778
2024,S1,0.2201,Buses,NMC,5506
2025,S1,0.2201,Buses,LFP,6855
2025,S1,0.2201,Buses,NMC,8411
2026,S1,0.2201,Buses,LFP,10949
2026,S1,0.2201,Buses,NMC,11274
2027,S1,0.2201,Buses,LFP,15934
2027,S1,0.2201,Buses,NMC,13678
2028,S1,0.2201,Buses,LFP,21535
2028,S1,0.2201,Buses,NMC,15322
2029,S1,0.2201,Buses,LFP,27390
2029,S1,0.2201,Buses,NMC,16136
2030,S1,0.2201,Buses,LFP,33214
2030,S1,0.2201,Buses,NMC,16270
2031,S1,0.2201,Buses,LFP,38744
2031,S1,0.2201,Buses,NMC,15980
2032,S1,0.2201,Buses,LFP,43824
2032,S1,0.2201,Buses,NMC,15547
2033,S1,0.2201,Buses,LFP,48361
2033,S1,0.2201,Buses,NMC,15184
2034,S1,0.2201,Buses,LFP,52387
2034,S1,0.2201,Buses,NMC,15023
2035,S1,0.2201,Buses,LFP,56032
2035,S1,0.2201,Buses,NMC,15114
2021,S1,0.2201,Cars,LFP,325
2021,S1,0.2201,Cars,NMC,760
2022,S1,0.2201,Cars,LFP,2777
2022,S1,0.2201,Cars,NMC,5919
2023,S1,0.2201,Cars,LFP,10311
2023,S1,0.2201,Cars,NMC,19084
2024,S1,0.2201,Cars,LFP,26711
2024,S1,0.2201,Cars,NMC,42896
2025,S1,0.2201,Cars,LFP,56061
2025,S1,0.2201,Cars,NMC,78446
2026,S1,0.2201,Cars,LFP,102304
2026,S1,0.2201,Cars,NMC,125093
2027,S1,0.2201,Cars,LFP,168592
2027,S1,0.2201,Cars,NMC,180171
2028,S1,0.2201,Cars,LFP,256373
2028,S1,0.2201,Cars,NMC,239027
2029,S1,0.2201,Cars,LFP,364573
2029,S1,0.2201,Cars,NMC,295925
2030,S1,0.2201,Cars,LFP,490123
2030,S1,0.2201,Cars,NMC,345359
2031,S1,0.2201,Cars,LFP,627976
2031,S1,0.2201,Cars,NMC,383165
2032,S1,0.2201,Cars,LFP,772097
2032,S1,0.2201,Cars,NMC,407536
2033,S1,0.2201,Cars,LFP,916248
2033,S1,0.2201,Cars,NMC,419300
2034,S1,0.2201,Cars,LFP,1055156
2034,S1,0.2201,Cars,NMC,421535
2035,S1,0.2201,Cars,LFP,1185437
2035,S1,0.2201,Cars,NMC,418600
2021,S1,0.2201,Vans,LFP,29
2021,S1,0.2201,Vans,NMC,68
2022,S1,0.2201,Vans,LFP,249
2022,S1,0.2201,Vans,NMC,530
2023,S1,0.2201,Vans,LFP,918
2023,S1,0.2201,Vans,NMC,1695
2024,S1,0.2201,Vans,LFP,2345
2024,S1,0.2201,Vans,NMC,3741
2025,S1,0.2201,Vans,LFP,4818
2025,S1,0.2201,Vans,NMC,6637
2026,S1,0.2201,Vans,LFP,8538
2026,S1,0.2201,Vans,NMC,10124
2027,S1,0.2201,Vans,LFP,13557
2027,S1,0.2201,Vans,NMC,13736
2028,S1,0.2201,Vans,LFP,19726
2028,S1,0.2201,Vans,NMC,16907
2029,S1,0.2201,Vans,LFP,26694
2029,S1,0.2201,Vans,NMC,19171
2030,S1,0.2201,Vans,LFP,34043
2030,S1,0.2201,Vans,NMC,20329
2031,S1,0.2201,Vans,LFP,41346
2031,S1,0.2201,Vans,NMC,20498
2032,S1,0.2201,Vans,LFP,48269
2032,S1,0.2201,Vans,NMC,20025
2033,S1,0.2201,Vans,LFP,54588
2033,S1,0.2201,Vans,NMC,19329
2034,S1,0.2201,Vans,LFP,60214
2034,S1,0.2201,Vans,NMC,18749
2035,S1,0.2201,Vans,LFP,65199
2035,S1,0.2201,Vans,NMC,18484
2021,S2,0.196,2 and 3 wheelers,LFP,18182
2021,S2,0.196,2 and 3 wheelers,NMC,42425
2022,S2,0.196,2 and 3 wheelers,LFP,213378
2022,S2,0.196,2 and 3 wheelers,NMC,464996
2023,S2,0.196,2 and 3 wheelers,LFP,923634
2023,S2,0.196,2 and 3 wheelers,NMC,1759023
2024,S2,0.196,2 and 3 wheelers,LFP,2509155
2024,S2,0.196,2 and 3 wheelers,NMC,4067885
2025,S2,0.196,2 and 3 wheelers,LFP,5032361
2025,S2,0.196,2 and 3 wheelers,NMC,6707149
2026,S2,0.196,2 and 3 wheelers,LFP,8148291
2026,S2,0.196,2 and 3 wheelers,NMC,8487238
2027,S2,0.196,2 and 3 wheelers,LFP,11389618
2027,S2,0.196,2 and 3 wheelers,NMC,8851287
2028,S2,0.196,2 and 3 wheelers,LFP,14523055
2028,S2,0.196,2 and 3 wheelers,NMC,8300051
2029,S2,0.196,2 and 3 wheelers,LFP,17498904
2029,S2,0.196,2 and 3 wheelers,NMC,7552971
2030,S2,0.196,2 and 3 wheelers,LFP,20214560
2030,S2,0.196,2 and 3 wheelers,NMC,6933837
2031,S2,0.196,2 and 3 wheelers,LFP,22533583
2031,S2,0.196,2 and 3 wheelers,NMC,6538496
2032,S2,0.196,2 and 3 wheelers,LFP,24400968
2032,S2,0.196,2 and 3 wheelers,NMC,6420795
2033,S2,0.196,2 and 3 wheelers,LFP,25889064
2033,S2,0.196,2 and 3 wheelers,NMC,6546780
2034,S2,0.196,2 and 3 wheelers,LFP,27191410
2034,S2,0.196,2 and 3 wheelers,NMC,6807906
2035,S2,0.196,2 and 3 wheelers,LFP,28465573
2035,S2,0.196,2 and 3 wheelers,NMC,7117081
2021,S2,0.196,Buses,LFP,85
2021,S2,0.196,Buses,NMC,200
2022,S2,0.196,Buses,LFP,531
2022,S2,0.196,Buses,NMC,1084
2023,S2,0.196,Buses,LFP,1625
2023,S2,0.196,Buses,NMC,2783
2024,S2,0.196,Buses,LFP,3605
2024,S2,0.196,Buses,NMC,5189
2025,S2,0.196,Buses,LFP,6601
2025,S2,0.196,Buses,NMC,7983
2026,S2,0.196,Buses,LFP,10650
2026,S2,0.196,Buses,NMC,10783
2027,S2,0.196,Buses,LFP,15598
2027,S2,0.196,Buses,NMC,13170
2028,S2,0.196,Buses,LFP,21220
2028,S2,0.196,Buses,NMC,14856
2029,S2,0.196,Buses,LFP,27206
2029,S2,0.196,Buses,NMC,15770
2030,S2,0.196,Buses,LFP,33183
2030,S2,0.196,Buses,NMC,16021
2031,S2,0.196,Buses,LFP,38874
2031,S2,0.196,Buses,NMC,15848
2032,S2,0.196,Buses,LFP,44108
2032,S2,0.196,Buses,NMC,15516
2033,S2,0.196,Buses,LFP,48798
2033,S2,0.196,Buses,NMC,15236
2034,S2,0.196,Buses,LFP,52946
2034,S2,0.196,Buses,NMC,15133
2035,S2,0.196,Buses,LFP,56611
2035,S2,0.196,Buses,NMC,15244
2021,S2,0.196,Cars,LFP,299
2021,S2,0.196,Cars,NMC,698
2022,S2,0.196,Cars,LFP,2574
2022,S2,0.196,Cars,NMC,5465
2023,S2,0.196,Cars,LFP,9682
2023,S2,0.196,Cars,NMC,17767
2024,S2,0.196,Cars,LFP,25339
2024,S2,0.196,Cars,NMC,40226
2025,S2,0.196,Cars,LFP,53603
2025,S2,0.196,Cars,NMC,73988
2026,S2,0.196,Cars,LFP,98645
2026,S2,0.196,Cars,NMC,118661
2027,S2,0.196,Cars,LFP,163617
2027,S2,0.196,Cars,NMC,171790
2028,S2,0.196,Cars,LFP,250211
2028,S2,0.196,Cars,NMC,229028
2029,S2,0.196,Cars,LFP,358048
2029,S2,0.196,Cars,NMC,285041
2030,S2,0.196,Cars,LFP,484087
2030,S2,0.196,Cars,NMC,334473
2031,S2,0.196,Cars,LFP,623332
2031,S2,0.196,Cars,NMC,373194
2032,S2,0.196,Cars,LFP,769712
2032,S2,0.196,Cars,NMC,399270
2033,S2,0.196,Cars,LFP,916941
2033,S2,0.196,Cars,NMC,413295
2034,S2,0.196,Cars,LFP,1059453
2034,S2,0.196,Cars,NMC,418014
2035,S2,0.196,Cars,LFP,1193141
2035,S2,0.196,Cars,NMC,417377
2021,S2,0.196,Vans,LFP,26
2021,S2,0.196,Vans,NMC,62
2022,S2,0.196,Vans,LFP,231
2022,S2,0.196,Vans,NMC,490
2023,S2,0.196,Vans,LFP,862
2023,S2,0.196,Vans,NMC,1578
2024,S2,0.196,Vans,LFP,2226
2024,S2,0.196,Vans,NMC,3510
2025,S2,0.196,Vans,LFP,4611
2025,S2,0.196,Vans,NMC,6266
2026,S2,0.196,Vans,LFP,8246
2026,S2,0.196,Vans,NMC,9619
2027,S2,0.196,Vans,LFP,13188
2027,S2,0.196,Vans,NMC,13133
2028,S2,0.196,Vans,LFP,19312
2028,S2,0.196,Vans,NMC,16268
2029,S2,0.196,Vans,LFP,26326
2029,S2,0.196,Vans,NMC,18578
2030,S2,0.196,Vans,LFP,33797
2030,S2,0.196,Vans,NMC,19851
2031,S2,0.196,Vans,LFP,41279
2031,S2,0.196,Vans,NMC,20173
2032,S2,0.196,Vans,LFP,48410
2032,S2,0.196,Vans,NMC,19859
2033,S2,0.196,Vans,LFP,54946
2033,S2,0.196,Vans,NMC,19302
