State,Year,Month,Registrations,Month_Num,Date
ANDAMAN & NICOBAR ISLAND,2020,JAN,870,1,2020-01-01
ANDAMAN & NICOBAR ISLAND,2020,FEB,662,2,2020-02-01
ANDAMAN & NICOBAR ISLAND,2020,MAR,693,3,2020-03-01
ANDAMAN & NICOBAR ISLAND,2020,APR,157,4,2020-04-01
ANDAMAN & NICOBAR ISLAND,2020,MAY,121,5,2020-05-01
ANDAMAN & NICOBAR ISLAND,2020,JUN,612,6,2020-06-01
ANDAMAN & NICOBAR ISLAND,2020,JUL,615,7,2020-07-01
ANDAMAN & NICOBAR ISLAND,2020,AUG,2,8,2020-08-01
ANDAMAN & NICOBAR ISLAND,2020,SEP,581,9,2020-09-01
ANDAMAN & NICOBAR ISLAND,2020,OCT,651,10,2020-10-01
ANDAMAN & NICOBAR ISLAND,2020,NOV,687,11,2020-11-01
ANDAMAN & NICOBAR ISLAND,2020,DEC,565,12,2020-12-01
ANDAMAN & NICOBAR ISLAND,2021,JAN,525,1,2021-01-01
ANDAMAN & NICOBAR ISLAND,2021,FEB,540,2,2021-02-01
ANDAMAN & NICOBAR ISLAND,2021,MAR,636,3,2021-03-01
ANDAMAN & NICOBAR ISLAND,2021,APR,728,4,2021-04-01
ANDAMAN & NICOBAR ISLAND,2021,MAY,8,5,2021-05-01
ANDAMAN & NICOBAR ISLAND,2021,JUN,6,6,2021-06-01
ANDAMAN & NICOBAR ISLAND,2021,JUL,690,7,2021-07-01
ANDAMAN & NICOBAR ISLAND,2021,AUG,541,8,2021-08-01
ANDAMAN & NICOBAR ISLAND,2021,SEP,450,9,2021-09-01
ANDAMAN & NICOBAR ISLAND,2021,OCT,462,10,2021-10-01
ANDAMAN & NICOBAR ISLAND,2021,NOV,586,11,2021-11-01
ANDAMAN & NICOBAR ISLAND,2021,DEC,545,12,2021-12-01
ANDAMAN & NICOBAR ISLAND,2022,JAN,471,1,2022-01-01
ANDAMAN & NICOBAR ISLAND,2022,FEB,535,2,2022-02-01
ANDAMAN & NICOBAR ISLAND,2022,MAR,535,3,2022-03-01
ANDAMAN & NICOBAR ISLAND,2022,APR,615,4,2022-04-01
ANDAMAN & NICOBAR ISLAND,2022,MAY,510,5,2022-05-01
ANDAMAN & NICOBAR ISLAND,2022,JUN,581,6,2022-06-01
ANDAMAN & NICOBAR ISLAND,2022,JUL,568,7,2022-07-01
