======================================================================
BENDERS DECOMPOSITION RESULTS
======================================================================
Converged: No
Iterations: 50
Final Gap: 0.516036%
Elapsed Time: 8.65 seconds
Optimal Objective: ₹-14,124,654,941 (₹-1412.47 Crore)
Number of Benders Cuts Generated: 50

--- FACILITY DECISIONS ---
  [CLOSED] Delhi_NCR: Capacity = 0
  [CLOSED] Chennai: Capacity = 0
  [CLOSED] Pune: Capacity = 0
  [OPEN] Hyderabad: Capacity = 17,285,215
  [OPEN] Ahmedabad: Capacity = 27,813,056
  [CLOSED] Kolkata: Capacity = 0

--- CONVERGENCE LOG ---
Iter |    LB (₹ Cr) |    UB (₹ Cr) |    Gap (%)
   1 | -100,000,000.00 |     5,673.19 | 1762776.8424%
   2 |  -169,641.10 |     5,673.19 | 3090.2243%
   3 |    -2,589.60 |        48.69 | 5418.3469%
   4 |    -1,531.57 |    -1,363.39 |   12.3353%
   5 |    -1,510.83 |    -1,363.39 |   10.8139%
   6 |    -1,510.57 |    -1,363.39 |   10.7953%
   7 |    -1,502.76 |    -1,363.39 |   10.2221%
   8 |    -1,491.01 |    -1,402.87 |    6.2829%
   9 |    -1,486.74 |    -1,402.87 |    5.9787%
  10 |    -1,477.90 |    -1,402.87 |    5.3484%
  11 |    -1,476.56 |    -1,402.87 |    5.2528%
  12 |    -1,472.95 |    -1,402.87 |    4.9956%
  13 |    -1,459.77 |    -1,402.87 |    4.0562%
  14 |    -1,457.38 |    -1,402.87 |    3.8856%
  15 |    -1,455.99 |    -1,402.87 |    3.7869%
  16 |    -1,454.80 |    -1,402.87 |    3.7016%
  17 |    -1,449.51 |    -1,402.87 |    3.3249%
  18 |    -1,446.28 |    -1,402.87 |    3.0943%
  19 |    -1,440.30 |    -1,402.87 |    2.6681%
  20 |    -1,440.00 |    -1,402.87 |    2.6468%
  21 |    -1,434.26 |    -1,402.87 |    2.2378%
  22 |    -1,433.62 |    -1,402.87 |    2.1922%
  23 |    -1,425.55 |    -1,402.87 |    1.6167%
  24 |    -1,424.13 |    -1,402.87 |    1.5158%
  25 |    -1,423.17 |    -1,402.87 |    1.4467%
  26 |    -1,422.35 |    -1,402.87 |    1.3887%
  27 |    -1,421.50 |    -1,402.87 |    1.3279%
  28 |    -1,420.89 |    -1,402.87 |    1.2844%
  29 |    -1,419.70 |    -1,402.87 |    1.1996%
  30 |    -1,418.00 |    -1,412.47 |    0.3918%
  31 |    -1,417.22 |    -1,412.47 |    0.3363%
  32 |    -1,415.47 |    -1,412.47 |    0.2126%
  33 |    -1,413.79 |    -1,412.47 |    0.0934%
  34 |    -1,413.70 |    -1,412.47 |    0.0874%
  35 |    -1,412.04 |    -1,412.47 |    0.0302%
  36 |    -1,411.35 |    -1,412.47 |    0.0789%
  37 |    -1,407.92 |    -1,412.47 |    0.3217%
  38 |    -1,407.33 |    -1,412.47 |    0.3635%
  39 |    -1,405.71 |    -1,412.47 |    0.4781%
  40 |    -1,405.69 |    -1,412.47 |    0.4795%
  41 |    -1,405.18 |    -1,412.47 |    0.5160%
  42 |    -1,405.18 |    -1,412.47 |    0.5160%
  43 |    -1,405.18 |    -1,412.47 |    0.5160%
  44 |    -1,405.18 |    -1,412.47 |    0.5160%
  45 |    -1,405.18 |    -1,412.47 |    0.5160%
  46 |    -1,405.18 |    -1,412.47 |    0.5160%
  47 |    -1,405.18 |    -1,412.47 |    0.5160%
  48 |    -1,405.18 |    -1,412.47 |    0.5160%
  49 |    -1,405.18 |    -1,412.47 |    0.5160%
  50 |    -1,405.18 |    -1,412.47 |    0.5160%
