======================================================================
BENDERS DECOMPOSITION RESULTS
======================================================================
Converged: No
Iterations: 50
Final Gap: 0.591511%
Elapsed Time: 8.87 seconds
Optimal Objective: ₹-14,120,093,254 (₹-1412.01 Crore)
Number of Benders Cuts Generated: 50

--- FACILITY DECISIONS ---
  [CLOSED] Delhi_NCR: Capacity = 0
  [CLOSED] Chennai: Capacity = 0
  [CLOSED] Pune: Capacity = 0
  [OPEN] Hyderabad: Capacity = 16,935,101
  [OPEN] Ahmedabad: Capacity = 28,120,613
  [CLOSED] Kolkata: Capacity = 0

--- CONVERGENCE LOG ---
Iter |    LB (₹ Cr) |    UB (₹ Cr) |    Gap (%)
   1 | -100,000,000.00 |     5,668.21 | 1764324.2960%
   2 |  -146,892.83 |     5,668.21 | 2691.5189%
   3 |    -2,586.99 |        47.70 | 5523.6504%
   4 |    -1,529.72 |    -1,361.69 |   12.3398%
   5 |    -1,508.97 |    -1,361.69 |   10.8159%
   6 |    -1,508.72 |    -1,361.69 |   10.7973%
   7 |    -1,500.90 |    -1,361.69 |   10.2230%
   8 |    -1,489.16 |    -1,401.10 |    6.2853%
   9 |    -1,484.89 |    -1,401.10 |    5.9806%
  10 |    -1,476.03 |    -1,401.10 |    5.3482%
  11 |    -1,474.71 |    -1,401.10 |    5.2534%
  12 |    -1,471.11 |    -1,401.10 |    4.9965%
  13 |    -1,457.91 |    -1,401.10 |    4.0549%
  14 |    -1,455.52 |    -1,401.10 |    3.8840%
  15 |    -1,454.14 |    -1,401.10 |    3.7853%
  16 |    -1,452.94 |    -1,401.10 |    3.6996%
  17 |    -1,447.65 |    -1,401.10 |    3.3220%
  18 |    -1,444.43 |    -1,401.10 |    3.0923%
  19 |    -1,438.46 |    -1,401.10 |    2.6662%
  20 |    -1,438.15 |    -1,401.10 |    2.6441%
  21 |    -1,433.37 |    -1,401.10 |    2.3029%
  22 |    -1,432.41 |    -1,401.10 |    2.2347%
  23 |    -1,424.81 |    -1,401.10 |    1.6920%
  24 |    -1,423.41 |    -1,401.10 |    1.5922%
  25 |    -1,423.27 |    -1,401.10 |    1.5820%
  26 |    -1,422.80 |    -1,401.10 |    1.5486%
  27 |    -1,422.28 |    -1,401.10 |    1.5114%
  28 |    -1,416.12 |    -1,401.10 |    1.0720%
  29 |    -1,416.04 |    -1,412.01 |    0.2852%
  30 |    -1,415.36 |    -1,412.01 |    0.2371%
  31 |    -1,414.94 |    -1,412.01 |    0.2078%
  32 |    -1,414.59 |    -1,412.01 |    0.1825%
  33 |    -1,411.92 |    -1,412.01 |    0.0064%
  34 |    -1,411.74 |    -1,412.01 |    0.0188%
  35 |    -1,410.28 |    -1,412.01 |    0.1223%
  36 |    -1,409.49 |    -1,412.01 |    0.1786%
  37 |    -1,406.11 |    -1,412.01 |    0.4177%
  38 |    -1,405.53 |    -1,412.01 |    0.4590%
  39 |    -1,405.16 |    -1,412.01 |    0.4850%
  40 |    -1,404.02 |    -1,412.01 |    0.5657%
  41 |    -1,403.66 |    -1,412.01 |    0.5915%
  42 |    -1,403.66 |    -1,412.01 |    0.5915%
  43 |    -1,403.66 |    -1,412.01 |    0.5915%
  44 |    -1,403.66 |    -1,412.01 |    0.5915%
  45 |    -1,403.66 |    -1,412.01 |    0.5915%
  46 |    -1,403.66 |    -1,412.01 |    0.5915%
  47 |    -1,403.66 |    -1,412.01 |    0.5915%
  48 |    -1,403.66 |    -1,412.01 |    0.5915%
  49 |    -1,403.66 |    -1,412.01 |    0.5915%
  50 |    -1,403.66 |    -1,412.01 |    0.5915%
